PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
HD 143761 b,0,1.045,,398.458,2.196,37,270.6,,,,,,RV,2016,16/07/11,16 01 03,+33 18 13,17.236,889,1.362,-0.31,5627,,Confirmed planets
HD 143761 c,0,79,,102.54,4.123,0.05,190,,,,,,RV,2016,16/07/11,16 01 03,+33 18 13,17.236,889,1.362,-0.31,5627,,Confirmed planets
KOI-1843.03,0,14,54,1.768.913,48,,,,,72,,,transit,2012,13/07/15,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
KOI-1843.01,0,,114,4.194.525,39,,,,,89.38,,,transit,,,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
KOI-1843.02,0,,71,6.356.006,52,,,,,88.24,,,transit,,,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
Kepler-9 b,0,0.25,0.84,1.922.418,143,626,,,,87.1,707.2,,transit,2010,15/12/03,19 02 17,+38 24 03,650,01.07,01.02,0.12,5777,,Confirmed planets
Kepler-9 c,0,0.17,0.82,3.903.106,229,684,,,,87.2,557.9,,transit,2010,15/12/03,19 02 17,+38 24 03,650,01.07,01.02,0.12,5777,,Confirmed planets
Kepler-9 d,0,22,147,1.592.851,271,,,,,,1601.5,,transit,2010,14/03/10,19 02 17,+38 24 03,650,01.07,01.02,0.12,5777,,Confirmed planets
GJ 160.2 b,0,321,,5.2354,53,0.06,350,,,,,,RV,2014,15/04/21,04 06 34.84136,-20 51 11.2391,43.25,0.69,,,4347,,Controversial
Kepler-566 b,0,,192,1.842.794.624,,,,,,,,,transit,2016,16/05/10,19 26 13,+47 48 52,,0.83,0.79,-0.01,5132,,Confirmed planets
WASP-124 b,0,0.6,1.24,337.265,449,,,,,86.3,1400,,transit,2016,16/02/04,22 10 51.43,-30 44 58.8,433,01.07,,-0.02,6050,,Confirmed planets
HD 240210 b,0,5.21,,501.75,1.33,0.15,277.59,,,,,,RV,2009,15/11/26,23 10 29.2303,+57 01 46.035,143,0.82,,-0.18,4297,,Confirmed planets
OGLE-05-390L b,0,17,,3500,2.1,,,,,,,,microlensing,2005,06/04/12,17 54 19,-30 22 38,6500,0.22,,,3840,,Confirmed planets
Kepler-1343 b,0,,172,335.183.158,,,,,,,,,transit,2016,16/05/10,19 37 11,+50 43 31,,0.95,0.93,-0.16,5759,,Confirmed planets
Kepler-1011 b,0,,256,575.322.197,,,,,,,,,transit,2016,16/05/10,19 49 36,+46 49 26,,0.91,0.88,0.08,5416,,Confirmed planets
WASP-82 b,0,1.24,1.67,2.705.782,447,,,,,87.9,2190,,transit,2013,13/10/22,04 50 39,+01 53 38,200,1.63,2.18,0.12,6490,,Confirmed planets
Gliese 1214 b,0,195,2.525,158.040.417,1.488,0,,,,88.47,604,,transit,2009,10/12/07,17 15 18.94,+04 57 49.7,14.55,176,2.213,0.1,3250,,Confirmed planets
Kepler-153 b,0,,2.661,18.870.227,,,,,,,,,transit,2014,14/02/26,18 49 50,+48 15 25,626.1,0.82,892,,5404,,Confirmed planets
Kepler-153 c,0,,23.056,4.690.232,,,,,,,,,transit,2014,14/02/26,18 49 50,+48 15 25,626.1,0.82,892,,5404,,Confirmed planets
HD 4203 b,0,1.82,,437.05,1.1735,0.52,,,,,263.9,,RV,2001,14/03/11,00 44 41,+20 26 56,77.82,1.13,1.33,453,5702,,Confirmed planets
HD 4203 c,0,2.17,,6700,6.95,0.24,,,,,,,RV,2014,14/03/11,00 44 41,+20 26 56,77.82,1.13,1.33,453,5702,,Confirmed planets
HD 179079 b,0,0.08,,14.476,0.11,115,,,,,925,,RV,2009,09/08/13,19 11 10,-02 38 18,63.69,1.087,1.48,0.29,5724,,Confirmed planets
Kepler-1368 b,0,,147,67.564.949,,,,,,,,,transit,2016,16/05/10,19 39 04,+41 38 41,,01.07,01.08,0.1,5906,,Confirmed planets
HD 187123 b,0,5.074,,30.965.886,4.213,93,360,,,,,,RV,1998,15/08/15,19 46 58.1,+34 25 10.3,48.3,1.037,1.143,121,5815,,Confirmed planets
HD 187123 c,0,1.818,,3324,4.417,0.28,258.5,,,,,,RV,2007,15/08/15,19 46 58.1,+34 25 10.3,48.3,1.037,1.143,121,5815,,Confirmed planets
Kepler-1111 b,0,,178,879.617.863,,,,,,,,,transit,2016,16/05/10,19 41 51,+45 48 46,,1.1,1.15,0.02,6077,,Confirmed planets
Kepler-1289 b,0,,136,799.019.627,,,,,,,,,transit,2016,16/05/10,19 45 33,+41 02 26,,1.1,1.17,0.02,6080,,Confirmed planets
Kepler-431 b,0,,682,6.803,719,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
Kepler-431 c,0,,596,8.703,847,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
Kepler-431 d,0,,99,11.922,1.045,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
Kepler-131 b,0,5.074,219.624,16.092,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,01.02,01.03,0.12,5685,3.66,Confirmed planets
Kepler-131 c,0,25.952,76.549,255.169,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,01.02,01.03,0.12,5685,3.66,Confirmed planets
Kepler-548 b,0,,01.07,445.419.434,,,,,,,,,transit,2016,16/05/10,19 59 37,+45 26 23,,0.93,0.9,0,5535,,Confirmed planets
HD 114729 A b,2,0.84,,1135,02.08,0.32,,,,,,,RV,2002,12/12/08,13 12 44,-31 52 24,35,0.93,1.46,-0.22,,6,Confirmed planets; Planets in binary systems; S-type
CoRoT-24 b,0,,0.33,5.1134,56,0,,,,86.5,1070,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11,Confirmed planets
CoRoT-24 c,0,88,0.44,11.759,98,0,,,,89,850,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11,Confirmed planets
Kepler-1105 b,0,,179,442.157.218,,,,,,,,,transit,2016,16/05/10,18 44 27,+42 27 18,,0.71,0.68,0.28,4299,,Confirmed planets
Kepler-211 c,0,,11.756,604.045,,,,,,,,,transit,2014,14/02/26,19 01 45,+43 10 06,327.93,914,816,,5123,,Confirmed planets
Kepler-211 b,0,,11.482,4.138.575,,,,,,,,,transit,2014,14/02/26,19 01 45,+43 10 06,327.93,914,816,,5123,,Confirmed planets
Kepler-294 c,0,,24.696,6.6264,,,,,,,,,transit,2014,14/02/26,19 09 34,+46 03 33,1698.68,994,976,,5913,,Confirmed planets
Kepler-294 b,0,,1.613,3.701.212,,,,,,,,,transit,2014,14/02/26,19 09 34,+46 03 33,1698.68,994,976,,5913,,Confirmed planets
HD 164595 b,0,51,,40,0.23,88,,,,,,,RV,2015,15/06/29,18 00 38.89431,+29 34 18.9202,28.93,0.99,,-0.04,5790,,Confirmed planets
Kepler-257 c,0,,49.301,6.581.484,,,,,,,,,transit,2014,14/02/26,19 49 15,+46 01 23,1167.03,0.74,1.037,,5180,,Confirmed planets
Kepler-257 b,0,,23.785,2.382.667,,,,,,,,,transit,2014,14/02/26,19 49 15,+46 01 23,1167.03,0.74,1.037,,5180,,Confirmed planets
Kepler-257 d,0,,45.109,24.664.551,,,,,,,,,transit,2014,14/02/26,19 49 15,+46 01 23,1167.03,0.74,1.037,,5180,,Confirmed planets
Kepler-214 c,0,,19.411,287.798,,,,,,,,,transit,2014,14/02/26,18 59 01,+44 57 21,1070.66,1.15,1.352,,6169,,Confirmed planets
Kepler-214 b,0,,23.785,15.660.544,,,,,,,,,transit,2014,14/02/26,18 59 01,+44 57 21,1070.66,1.15,1.352,,6169,,Confirmed planets
Kepler-1112 b,0,,269,1.436.267.939,,,,,,,,,transit,2016,16/05/10,19 47 53,+47 45 05,,1.34,1.54,0.04,6496,,Confirmed planets
Kepler-130 c,0,,25.608,27.508.653,176,0.08,,,,89.8,,,transit,2014,15/07/22,19 13 48,+40 14 43,266.39,965,1.127,,5884,,Confirmed planets
Kepler-130 b,0,,9.295,8.457.458,0.08,0.15,,,,89.6,,,transit,2014,15/07/22,19 13 48,+40 14 43,266.39,965,1.127,,5884,,Confirmed planets
Kepler-130 d,0,,14.945,87.517.905,381,,,,,89.3,,,transit,2014,15/07/22,19 13 48,+40 14 43,266.39,965,1.127,,5884,,Confirmed planets
WASP-108 b,0,892,1.284,26.755.463,397,,,,,88.49,1590,,transit,2014,14/10/14,13 03 18.73,-49 38 22.8,220,1.167,1.215,0.05,6000,6.4,Confirmed planets
K2-34 b,0,1.78,1.35,2.995.607,4.419,0,,,,82.06,,,transit,2016,16/06/07,08 30 19,+22 14 09,377,1.281,1.526,0.24,6132,,Confirmed planets
Kepler-815 b,0,,367,857.503.552,,,,,,,,,transit,2016,16/05/10,19 00 53,+47 52 53,,1.25,3.42,-0.03,5028,,Confirmed planets
Kepler-1145 b,0,,125,397.076.766,,,,,,,,,transit,2016,16/05/10,19 41 14,+43 02 40,,0.79,0.75,-0.13,5064,,Confirmed planets
38 Vir b,0,4.51,,825.9,1.82,0.03,,,,,,,,2016,17/02/20,12 53 11.16,-03 33 11.2,,1.18,1.45,0.07,6557,1.9,Confirmed planets
Kepler-1575 b,0,,117,255.314.213,,,,,,,,,transit,2016,16/05/10,19 34 58,+45 45 42,,0.95,0.92,-0.07,5667,,Confirmed planets
Kepler-1380 b,0,,128,103.108.245,,,,,,,,,transit,2016,16/05/10,19 12 28,+42 26 26,,0.96,0.94,0.1,5570,,Confirmed planets
Kepler-189 c,0,,21.689,20.134.866,,,,,,,,,transit,2014,14/02/26,19 10 15,+44 18 17,650.34,824,0.75,,5235,,Confirmed planets
Kepler-189 b,0,,11.027,10.399.931,,,,,,,,,transit,2014,14/02/26,19 10 15,+44 18 17,650.34,824,0.75,,5235,,Confirmed planets
Kepler-327 b,0,,10.115,2.549.575,,,,,,,,,transit,2014,14/02/26,19 30 34,+44 05 15,241.74,547,492,,3799,,Confirmed planets
Kepler-327 d,0,,15.766,13.969.457,,,,,,,,,transit,2014,14/02/26,19 30 34,+44 05 15,241.74,547,492,,3799,,Confirmed planets
Kepler-327 c,0,,9.386,5.212.333,,,,,,,,,transit,2014,14/02/26,19 30 34,+44 05 15,241.74,547,492,,3799,,Confirmed planets
Kepler-1071 b,0,,212,61.799.844,,,,,,,,,transit,2016,16/05/10,19 32 14,+45 14 56,,0.86,0.81,0.01,5215,,Confirmed planets
