PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn
HD 143761 b,0,1045,,398458,2196,RV,2016,16/07/2011,16 01 03,+33 18 13,17236,889,1362,-31,5627,Confirmed planets
HD 143761 c,0,79,,10254,4123,RV,2016,16/07/2011,16 01 03,+33 18 13,17236,889,1362,-31,5627,Confirmed planets
KOI-184303,0,14,54,1768913,48,transit,2012,13/07/2015,19 00 0314,#ERROR!,,46,45,0,3584,Controversial
KOI-184301,0,,114,4194525,39,transit,,,19 00 0314,#ERROR!,,46,45,0,3584,Controversial
KOI-184302,0,,71,6356006,52,transit,,,19 00 0314,#ERROR!,,46,45,0,3584,Controversial
Kepler-9 b,0,25,84,1922418,143,transit,2010,15/12/2003,19 02 17,+38 24 03,650,107,102,12,5777,Confirmed planets
Kepler-9 c,0,17,82,3903106,229,transit,2010,15/12/2003,19 02 17,+38 24 03,650,107,102,12,5777,Confirmed planets
Kepler-9 d,0,22,147,1592851,271,transit,2010,14/03/2010,19 02 17,+38 24 03,650,107,102,12,5777,Confirmed planets
GJ 1602 b,0,321,,52354,53,RV,2014,15/04/2021,04 06 3484136,-20 51 112391,4325,69,,,4347,Controversial
Kepler-566 b,0,,192,1842794624,,transit,2016,16/05/2010,19 26 13,+47 48 52,,83,79,-1,5132,Confirmed planets
WASP-124 b,0,6,124,337265,449,transit,2016,16/02/2004,22 10 5143,-30 44 588,433,107,,-2,6050,Confirmed planets
HD 240210 b,0,521,,50175,133,RV,2009,15/11/2026,23 10 292303,#ERROR!,143,82,,-18,4297,Confirmed planets
OGLE-05-390L b,0,17,,3500,21,microlensing,2005,6/04/2012,17 54 19,-30 22 38,6500,22,,,3840,Confirmed planets
Kepler-1343 b,0,,172,335183158,,transit,2016,16/05/2010,19 37 11,+50 43 31,,95,93,-16,5759,Confirmed planets
Kepler-1011 b,0,,256,575322197,,transit,2016,16/05/2010,19 49 36,+46 49 26,,91,88,8,5416,Confirmed planets
WASP-82 b,0,124,167,2705782,447,transit,2013,13/10/2022,04 50 39,+01 53 38,200,163,218,12,6490,Confirmed planets
